Date: Week,Product,Product → Target DPCI,Product → Muffin Product Line,Sales Dollars,Sales Units,Stores Scanning,PODs Scanning,Promo Sales Dollars,Promo Sales Units
"Jul 20, 2025 - Jul 26, 2025",Kale Apple Puffs,007-10-2035,Toddler Snack,$4.99 ,1,1,1,$0.00 ,0
"Jul 27, 2025 - Aug 2, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,$5.99 ,1,1,1,$0.00 ,0
"Jul 27, 2025 - Aug 2, 2025",Kale Apple Puffs,007-10-2035,Toddler Snack,$4.99 ,1,1,1,$0.00 ,0
"Aug 3, 2025 - Aug 9, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,,,0,0,,
"Aug 3, 2025 - Aug 9, 2025",Kale Apple Puffs,007-10-2035,Toddler Snack,,,0,0,,
"Aug 3, 2025 - Aug 9, 2025",Organic Oatmeal Baby Cereal,007-10-9801,Baby Cereal,,,0,0,,
"Aug 10, 2025 - Aug 16, 2025",Apple Pie Oat Bakes,071-20-0967,Kids Lunchbox,,,0,0,,
"Aug 10, 2025 - Aug 16, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,,,0,0,,
"Aug 10, 2025 - Aug 16, 2025",Blueberry Muffin Oat Bakes,071-20-0966,Kids Lunchbox,,,0,0,,
"Aug 10, 2025 - Aug 16, 2025",Chocolate Chip Oat Bakes,071-20-0965,Kids Lunchbox,,,0,0,,
"Aug 10, 2025 - Aug 16, 2025",Kale Apple Puffs,007-10-2035,Toddler Snack,,,0,0,,
"Aug 10, 2025 - Aug 16, 2025",Organic Oatmeal Baby Cereal,007-10-9801,Baby Cereal,$4.89 ,1,1,1,$0.00 ,0
"Aug 17, 2025 - Aug 23, 2025",Apple Berry Blast YoGos – 4 Pack,284-10-8661,YOGO,,,0,0,,
"Aug 17, 2025 - Aug 23, 2025",Apple Pie Oat Bakes,071-20-0967,Kids Lunchbox,$11.98 ,2,1,1,$0.00 ,0
"Aug 17, 2025 - Aug 23, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,$29.94 ,6,2,2,$0.00 ,0
"Aug 17, 2025 - Aug 23, 2025",Blueberry Muffin Oat Bakes,071-20-0966,Kids Lunchbox,$5.99 ,1,1,1,$0.00 ,0
"Aug 17, 2025 - Aug 23, 2025",Chicken Veggie Sliders,270-02-8577,Kids Meals,,,0,0,,
"Aug 17, 2025 - Aug 23, 2025",Chocolate Chip Oat Bakes,071-20-0965,Kids Lunchbox,,,0,0,,
"Aug 17, 2025 - Aug 23, 2025",Kale Apple Puffs,007-10-2035,Toddler Snack,$33.95 ,7,3,3,$4.26 ,1
"Aug 17, 2025 - Aug 23, 2025",Mac & Cheesy Veggie Loops,071-06-0658,BFY Snacks,,,0,0,,
"Aug 17, 2025 - Aug 23, 2025",Mini Turkey Kale Meatballs,270-02-2902,Kids Meals,,,0,0,,
"Aug 17, 2025 - Aug 23, 2025",Organic Oatmeal Baby Cereal,007-10-9801,Baby Cereal,$10.68 ,2,2,2,$0.00 ,0
"Aug 17, 2025 - Aug 23, 2025",Pizzalicious Veggie Loops,071-06-0659,BFY Snacks,,,0,0,,
"Aug 17, 2025 - Aug 23, 2025",Strawberry Bananza YoGo,284-10-1821,YOGO,,,0,0,,
"Aug 17, 2025 - Aug 23, 2025",Strawberry Bananza YoGos – 4 Pack,284-10-4983,YOGO,,,0,0,,
"Aug 17, 2025 - Aug 23, 2025",Super Chicken Dippers ,270-02-0128,Kids Meals,,,0,0,,
"Aug 17, 2025 - Aug 23, 2025",Tropical Mango Twist YoGo,284-10-0310,YOGO,,,0,0,,
"Aug 24, 2025 - Aug 30, 2025",Apple Berry Blast YoGos – 4 Pack,284-10-8661,YOGO,"$1,851.82 ",153,112,112,$159.23 ,15
"Aug 24, 2025 - Aug 30, 2025",Apple Pie Oat Bakes,071-20-0967,Kids Lunchbox,$23.65 ,4,2,2,$0.00 ,0
"Aug 24, 2025 - Aug 30, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,$411.84 ,81,41,41,$29.05 ,6
"Aug 24, 2025 - Aug 30, 2025",Berry Banana Blast,211-34-0231,Smoothie Pouches,,,0,0,,
"Aug 24, 2025 - Aug 30, 2025",Berry Banana Blast 4 Pack,211-34-0239,Smoothie Pouches,,,0,0,,
"Aug 24, 2025 - Aug 30, 2025",Blueberry Muffin Oat Bakes,071-20-0966,Kids Lunchbox,$17.97 ,3,2,2,$0.00 ,0
"Aug 24, 2025 - Aug 30, 2025",Chicken Veggie Sliders,270-02-8577,Kids Meals,,,0,0,,
"Aug 24, 2025 - Aug 30, 2025",Chocolate Chip Oat Bakes,071-20-0965,Kids Lunchbox,,,0,0,,
"Aug 24, 2025 - Aug 30, 2025",Green Dream,211-34-0232,Smoothie Pouches,,,0,0,,
"Aug 24, 2025 - Aug 30, 2025",Green Dream 4 Pack,211-34-0240,Smoothie Pouches,$11.99 ,1,1,1,$0.00 ,0
"Aug 24, 2025 - Aug 30, 2025",Kale Apple Puffs,007-10-2035,Toddler Snack,$443.65 ,86,45,45,$44.94 ,9
"Aug 24, 2025 - Aug 30, 2025",Mac & Cheesy Veggie Loops,071-06-0658,BFY Snacks,$5.99 ,1,1,1,$0.00 ,0
"Aug 24, 2025 - Aug 30, 2025",Mini Turkey Kale Meatballs,270-02-2902,Kids Meals,,,0,0,,
"Aug 24, 2025 - Aug 30, 2025",Organic Oatmeal Baby Cereal,007-10-9801,Baby Cereal,$110.33 ,19,15,15,$19.91 ,4
"Aug 24, 2025 - Aug 30, 2025",Pineapple Guava Punch,211-34-0236,Smoothie Pouches,$10.47 ,3,1,1,$0.00 ,0
"Aug 24, 2025 - Aug 30, 2025",Pizzalicious Veggie Loops,071-06-0659,BFY Snacks,$5.99 ,1,1,1,$0.00 ,0
"Aug 24, 2025 - Aug 30, 2025",Strawberry Banana Shake,211-34-0230,Smoothie Pouches,,,0,0,,
"Aug 24, 2025 - Aug 30, 2025",Strawberry Banana Shake 4 Pack ,211-34-0238,Smoothie Pouches,,,0,0,,
"Aug 24, 2025 - Aug 30, 2025",Strawberry Bananza YoGo,284-10-1821,YOGO,$367.96 ,105,55,55,$26.91 ,9
"Aug 24, 2025 - Aug 30, 2025",Strawberry Bananza YoGos – 4 Pack,284-10-4983,YOGO,"$1,694.03 ",140,101,101,$189.32 ,17
"Aug 24, 2025 - Aug 30, 2025",Super Chicken Dippers ,270-02-0128,Kids Meals,,,0,0,,
"Aug 24, 2025 - Aug 30, 2025",Tropical Avocado Greens,211-34-0237,Smoothie Pouches,,,0,0,,
"Aug 24, 2025 - Aug 30, 2025",Tropical Mango Twist YoGo,284-10-0310,YOGO,$310.27 ,89,50,50,$40.16 ,13
"Aug 31, 2025 - Sep 6, 2025",Apple Berry,284-10-4013,YOGO,$13.79 ,4,2,2,$0.00 ,0
"Aug 31, 2025 - Sep 6, 2025",Apple Berry Blast YoGos – 4 Pack,284-10-8661,YOGO,"$6,011.96 ",491,336,336,$153.71 ,14
"Aug 31, 2025 - Sep 6, 2025",Apple Pie Oat Bakes,071-20-0967,Kids Lunchbox,"$1,095.29 ",182,85,85,$20.75 ,4
"Aug 31, 2025 - Sep 6, 2025",Banana Pitaya Rings,007-10-0291,Toddler Snack,"$4,840.25 ",944,347,347,$190.04 ,42
"Aug 31, 2025 - Sep 6, 2025",Berry Banana Blast,211-34-0231,Smoothie Pouches,$368.48 ,108,39,39,$9.68 ,3
"Aug 31, 2025 - Sep 6, 2025",Berry Banana Blast 4 Pack,211-34-0239,Smoothie Pouches,$395.19 ,34,22,22,$10.98 ,1
